1,1.75,4.64,-43.50,0.02
1,1.75,4.67,-44.60,0.03
1,1.74,4.71,-40.40,0.04
1,1.75,4.77,-49.40,0.05
1,1.74,4.79,-49.80,0.06
1,1.74,4.85,-44.00,0.07
1,1.74,4.89,-47.60,0.08
1,1.74,4.95,-51.90,0.09
1,1.73,4.98,-45.20,0.10
1,1.73,5.06,-54.70,0.11
1,1.72,5.10,-53.70,0.12
1,1.72,5.16,-50.30,0.13
1,1.72,5.21,-59.20,0.14
1,1.71,5.25,-50.90,0.15
1,1.71,5.32,-57.60,0.16
1,1.70,5.36,-59.10,0.17
1,1.70,5.43,-58.20,0.18
1,1.70,5.48,-63.90,0.19
1,1.68,5.58,-64.10,0.20
1,1.68,5.66,-68.20,0.21
1,1.66,5.69,-66.90,0.22
1,1.65,5.74,-68.50,0.23
1,1.63,5.73,-70.60,0.24
1,1.58,5.69,-71.40,0.25
1,1.55,5.61,-71.80,0.26
1,1.47,5.48,-71.90,0.27
1,1.43,5.39,-71.10,0.28
1,1.37,5.26,-72.30,0.29
1,1.33,5.17,-71.70,0.30
1,1.27,5.06,-71.40,0.31
1,1.22,4.95,-72.50,0.32
1,1.19,4.89,-71.50,0.33
1,1.15,4.79,-71.90,0.34
1,1.13,4.73,-72.30,0.35
1,1.09,4.66,-71.80,0.36
1,1.07,4.62,-72.20,0.37
1,1.04,4.54,-71.50,0.38
1,1.02,4.50,-72.40,0.39
1,1.00,4.43,-72.40,0.40
1,0.97,4.36,-71.30,0.41
1,0.94,4.29,-73.80,0.42
1,0.89,4.19,-70.40,0.43
1,0.87,4.12,-73.10,0.44
1,0.84,4.02,-74.00,0.45
1,0.81,3.97,-70.20,0.46
1,0.77,3.87,-72.50,0.47
1,0.75,3.80,-73.40,0.48
1,0.72,3.72,-72.50,0.49
1,0.70,3.68,-71.80,0.50
1,0.69,3.63,-72.40,0.51
1,0.68,3.60,-71.80,0.52
1,0.68,3.59,-72.50,0.53
1,0.67,3.55,-72.90,0.54
1,0.65,3.52,-72.10,0.55
1,0.63,3.45,-75.90,0.56
1,0.61,3.39,-70.50,0.57
1,0.59,3.31,-76.00,0.58
1,0.57,3.26,-71.50,0.59
1,0.54,3.18,-70.30,0.60
1,0.52,3.12,-77.90,0.61
1,0.50,3.03,-67.30,0.62
1,0.47,2.95,-77.90,0.63
1,0.45,2.88,-72.10,0.64
1,0.43,2.81,-70.00,0.65
